Concept1_ID,Concept1_Name,Concept2_ID,Concept2_Name,AdamicAdarScore
C124148022,Quantum circuit,C105295557,Categorical quantum mechanics,0.23233849357411737
C124148022,Quantum circuit,C58140894,OR gate,0.7358475015124737
C124148022,Quantum circuit,C193690875,Optical modulator,0.24044917348149392
C124148022,Quantum circuit,C3227080,Carry-save adder,0.23233849357411737
C124148022,Quantum circuit,C91394653,Conjugate residual method,0
C124148022,Quantum circuit,C179153249,Consistent histories,0.23233849357411737
C124148022,Quantum circuit,C60064506,Rigged Hilbert space,0.23233849357411737
C124148022,Quantum circuit,C172218469,Direct-coupled amplifier,0.2473379469500514
C124148022,Quantum circuit,C124968333,Schnorr signature,0
C124148022,Quantum circuit,C207046469,Interpretations of quantum mechanics,0.23233849357411737
C124148022,Quantum circuit,C183968085,Trapped ion quantum computer,0.4877871204315453
C124148022,Quantum circuit,C31593994,Gauge fixing,0
C124148022,Quantum circuit,C100980136,Malleability,0
C124148022,Quantum circuit,C11255438,Quantum process,1.9965092512786913
C124148022,Quantum circuit,C107923615,Kinetic inductance,0.2769378934088574
C124148022,Quantum circuit,C2985428132,Quantum memory,0.24044917348149392
C124148022,Quantum circuit,C2779094486,Quantum machine learning,0
C124148022,Quantum circuit,C177414767,Supersymmetric quantum mechanics,0.23233849357411737
C124148022,Quantum circuit,C131021393,Signal transfer function,0
C124148022,Quantum circuit,C19271316,One-way quantum computer,0.5864254297426875
C124148022,Quantum circuit,C113843644,Interface (matter),0.48089834696298783
C124148022,Quantum circuit,C23409769,Relationship between string theory and quantum field theory,0.23233849357411737
C124148022,Quantum circuit,C207648694,Denotational semantics,0.23233849357411737
C124148022,Quantum circuit,C15547884,DTIME,0
C124148022,Quantum circuit,C190047474,Wave function collapse,0.8312035167890437
C124148022,Quantum circuit,C21176728,Turing machine examples,0.2473379469500514
C124148022,Quantum circuit,C145366948,Operational amplifier,0.2473379469500514
C124148022,Quantum circuit,C144271403,Probabilistic Turing machine,0.4877871204315453
C124148022,Quantum circuit,C53105130,Fluxon,0.23233849357411737
C124148022,Quantum circuit,C119382340,Superconducting quantum computing,0.2769378934088574
C124148022,Quantum circuit,C177409962,Shannon's source coding theorem,0
C124148022,Quantum circuit,C176248197,Probably approximately correct learning,0
C124148022,Quantum circuit,C101615488,Geometric Brownian motion,0.23233849357411737
C124148022,Quantum circuit,C36367407,Goldwasser–Micali cryptosystem,0
C124148022,Quantum circuit,C158971709,Magnonics,0.824314743320486
C124148022,Quantum circuit,C139356082,Quantum discord,1.8864045362845798
C124148022,Quantum circuit,C32270708,Squashed entanglement,0
C124148022,Quantum circuit,C2777796570,Dynamic logic (digital electronics),0.23233849357411737
C124148022,Quantum circuit,C2778361524,Heisenberg limit,0.24044917348149392
C124148022,Quantum circuit,C207060392,Second quantization,0
C124148022,Quantum circuit,C122806257,PH,0
C124148022,Quantum circuit,C150724011,Quantum point contact,0.8312035167890437
C124148022,Quantum circuit,C206321295,Łukasiewicz logic,0.23233849357411737
C124148022,Quantum circuit,C110039528,Zeroth-order logic,0.23233849357411737
C124148022,Quantum circuit,C39197057,Magnetic flux quantum,0.23233849357411737
C124148022,Quantum circuit,C116206932,Serial binary adder,0.23233849357411737
C124148022,Quantum circuit,C80891386,Quantum phases,0
C124148022,Quantum circuit,C40404285,Merkle signature scheme,0
C124148022,Quantum circuit,C3845977,Autoepistemic logic,0.23233849357411737
C124148022,Quantum circuit,C125252325,Entropy rate,0
C124148022,Quantum circuit,C22994065,Quantum chemistry,0
C124148022,Quantum circuit,C205309187,Coherent anti-Stokes Raman spectroscopy,0.2473379469500514
C124148022,Quantum circuit,C112806910,Noise figure,0.2473379469500514
C124148022,Quantum circuit,C18899389,Blind signature,0
C124148022,Quantum circuit,C170260401,Defuzzification,0.23233849357411737
C124148022,Quantum circuit,C60543599,Josephson energy,0.23233849357411737
C124148022,Quantum circuit,C113873419,Flicker noise,0.2473379469500514
C124148022,Quantum circuit,C68227491,No-go theorem,0.23233849357411737
C124148022,Quantum circuit,C1465435,Longest path problem,0
C124148022,Quantum circuit,C196054291,RF power amplifier,0.2473379469500514
C124148022,Quantum circuit,C12252657,Effective input noise temperature,0.2473379469500514
C124148022,Quantum circuit,C67935508,Information diagram,0
C124148022,Quantum circuit,C140058369,Quantum walk,0
C124148022,Quantum circuit,C194867977,Quantum Zeno effect,0.2473379469500514
C124148022,Quantum circuit,C37669827,Monte Carlo molecular modeling,0
C124148022,Quantum circuit,C8492334,Quantum spacetime,0.23233849357411737
C124148022,Quantum circuit,C161166931,Quantum simulator,0.5838655698389923
C124148022,Quantum circuit,C48415503,Time hierarchy theorem,0.4877871204315453
C124148022,Quantum circuit,C9429942,Product term,0.23233849357411737
C124148022,Quantum circuit,C71191651,Quantum nanoscience,0.2769378934088574
C124148022,Quantum circuit,C166576357,Y-factor,0.2473379469500514
C124148022,Quantum circuit,C146366752,Quantum critical point,0
C124148022,Quantum circuit,C155332784,Low-noise amplifier,0.2473379469500514
C124148022,Quantum circuit,C79369538,Minority interpretations of quantum mechanics,0.5092763869829747
C124148022,Quantum circuit,C128108043,Bell's theorem,0.47278766705561126
C124148022,Quantum circuit,C13153151,Hybrid Monte Carlo,0
C124148022,Quantum circuit,C194269254,Squeezed coherent state,1.6540660427104625
C124148022,Quantum circuit,C109546105,Flux qubit,0
C124148022,Quantum circuit,C196083917,Min entropy,0
C124148022,Quantum circuit,C165973109,Quantum probability,0.9970635074145201
C124148022,Quantum circuit,C36494176,Local hidden variable theory,0.47278766705561126
C124148022,Quantum circuit,C187678412,Superdense coding,0.24044917348149392
C124148022,Quantum circuit,C123744220,Threshold cryptosystem,0
C124148022,Quantum circuit,C11644886,Emitter-coupled logic,0.7358475015124737
C124148022,Quantum circuit,C70335271,Optical phase space,1.6540660427104625
C124148022,Quantum circuit,C206040425,Amplitude damping channel,0.24044917348149392
C124148022,Quantum circuit,C186123792,SIC-POVM,0.23233849357411737
C124148022,Quantum circuit,C2779554537,Optical chaos,0.2769378934088574
C124148022,Quantum circuit,C184551789,Atom interferometer,0.24044917348149392
C124148022,Quantum circuit,C199793620,Topological degeneracy,0.5824133524399249
C124148022,Quantum circuit,C177634923,Continuum percolation theory,0
C124148022,Quantum circuit,C162454741,Logic family,0.968185995086591
C124148022,Quantum circuit,C74342258,Noise generator,0.2473379469500514
C124148022,Quantum circuit,C22984246,Quantum imaging,1.6540660427104625
C124148022,Quantum circuit,C197162436,NMOS logic,0.48089834696298783
C124148022,Quantum circuit,C72933692,Greenberger–Horne–Zeilinger state,0
C124148022,Quantum circuit,C64775481,Quantum mutual information,0.5824133524399249
C124148022,Quantum circuit,C178429038,Valence bond theory,0
C124148022,Quantum circuit,C192061203,Quantum Turing machine,0.4877871204315453
C124148022,Quantum circuit,C22393281,Thermal quantum field theory,0
C124148022,Quantum circuit,C191608238,Decoherence-free subspaces,0.2473379469500514
C124148022,Quantum circuit,C28449271,Logic optimization,0.23233849357411737
C124148022,Quantum circuit,C136269434,Quantum chaos,0.2769378934088574
C124148022,Quantum circuit,C132725507,Monte Carlo integration,0
C124148022,Quantum circuit,C70747811,Rydberg formula,0.2769378934088574
C124148022,Quantum circuit,C1883856,Fuzzy number,0.23233849357411737
C124148022,Quantum circuit,C168090291,Classical capacity,0.8228625259214187
C124148022,Quantum circuit,C90596186,Electro-optic modulator,0.24044917348149392
C124148022,Quantum circuit,C132860680,ElGamal signature scheme,0
C124148022,Quantum circuit,C108277079,Post-quantum cryptography,0
C124148022,Quantum circuit,C68562976,Spin network,0.5473768499116287
C124148022,Quantum circuit,C59087194,Black hole information paradox,0
C124148022,Quantum circuit,C94284585,Random oracle,0
C124148022,Quantum circuit,C131583701,Structural complexity theory,0
C124148022,Quantum circuit,C199508470,Stochastic electrodynamics,0.2769378934088574
C124148022,Quantum circuit,C14245642,Preamplifier,0.2473379469500514
C124148022,Quantum circuit,C180554434,Population transfer,0
